马匹名称,出生地 / 馬齡,毛色 / 性別,進口類別,今季獎金*,總獎金*,冠-亞-季-總出賽次數*,最近十個賽馬日出賽場數,現在位置(到達日期),進口日期,練馬師,馬主,現時評分,季初評分,父系,母系,外祖父,同父系馬,自購馬來港前賽事片段
閃耀威龍,愛爾蘭 / 5,棕 / 閹,自購馬,"$507,500","$1,168,325",2-0-1-23,1,從化(11/11/2024),07/05/2022,文家良,朱詠儀,43,38,Starspangledbanner,Hope So,Bated Breath,顯力之城永遠美麗美麗第一金鑽精靈神馳加州星皓加州星球加州星馳綫路英雄衝上雲霄飛鷹翱翔喜蓮勇略紅衫魚K267K280K301歡喜福星大輝煌知恩圖報南莊堡雪勇神駒盈妍威楓紅海風帆囍眼光一定掂紫荊歡呼都靈星球三代同心手到齊來,
辣得駕勢,澳洲 / 5,棗 / 閹,自購新馬,"$490,000","$1,115,000",2-0-0-14,1,香港(02/01/2024),20/09/2021,巫偉傑,吳創木、黃紋與吳少鸞,43,38,Outreach,Bellalicious,Mossman,當家精神驍勇善戰日新月著,
精英至尊,英國 / 5,棕 / 閹,自購馬,"$260,325","$1,796,250",1-1-3-27,1,香港(10/09/2022),10/09/2022,巫偉傑,精英互聯團體,43,44,Bated Breath,Tested,Selkirk,加州偟者着着領先,
讓愛高飛,愛爾蘭 / 7,棗 / 閹,自購馬,"$111,150","$3,980,650",3-2-2-33,1,香港(25/04/2024),31/03/2021,鄭俊偉,AA84 團體,43,47,Holy Roman Emperor,Guilia,Galileo,馬特峰顏色大皇好勁力精明勇駿旅遊高球競駿皇者,
東方寶寶,紐西蘭 / 4,棗 / 閹,自購新馬,$0,"$245,700",0-1-0-7,1,香港(08/01/2024),08/01/2024,徐雨石,黃錦美與陳富豪,42,46,Charm Spirit,Estrela Flicka,O'Reilly,佳運發錢程萬里飛騰騅不可擋天天耍樂飛雲上市魅力福國寶歡樂飛駒K141嘉應獎昇愛馬善魯班精神勇冠群英盛勢威楓銀刺勇士智勝攻略不假外求三生福佑友運行,
喜勝威龍,澳洲 / 6,棗 / 閹,自購馬,"$725,175","$2,204,500",2-1-6-29,1,從化(01/11/2024),23/03/2022,大衛希斯,周潤賞與周達智,42,37,Wandjina,Pediment,Lonhro,港林福將錶之銀河還看今朝,
一鹿歡騰,澳洲 / 4,棗 / 閹,自購新馬,$0,"$40,950",0-0-0-5,1,從化(13/11/2024),05/06/2023,告東尼,匡耀、傅琳瑚、嚴浩與王可佳,42,44,No Nay Never,Planet's Princess,Not A Single Doubt,龍之輝燊宜之星精英拍檔八駿福昇K201鑽石星空大至尊心想事成挺秀騰飛賢心星建測精英,
鼓浪飛凡,紐西蘭 / 5,棗 / 閹,自購新馬,"$590,625","$1,625,175",2-1-2-20,1,從化(08/11/2024),07/06/2022,文家良,吳亦琳,42,39,Time Test,The Beckett,Spartacus,俏郎中錶之星球共享富裕九五赤兔鋒王可愛新星良田福星勁進駒勁大威猛越野大師廚師發辦銘記知友三才鬥士長峰小子九因歌壯志凌雲醒目先駒,
一石二鳥,澳洲 / 4,棗 / 閹,自購新馬,"$40,950","$40,950",0-0-0-5,2,香港(30/08/2024),20/02/2024,容天鵬,王國威,42,50,Deep Field,Excess Love,Exceed And Excel,旺旺昇叻魅影獵飛好瑪威威熾烈神駒驍勇者加州得力加州代表加州德至龍之光川河帥駒南區旺電路豪傑電路七號勇者無敵花好月盈瑤瑤日上勇威神駒鑽飾翱翔快樂老撾吉祥寶對衡之星安都隼閣川河型駒威武良駒金玉良言華麗活力逍遙人生千杯敬典火神神樂嫡愛心超級龍珠春風萬里K216K236K263K271K292八駿高昇盛載富祿幸運旅程智智多寶加飯綠族無限貓山王魅力一心包裝伯樂勝萬金綠水青山機械騎士時間寶自強不息深心星揚威四方海綿寶寶川河動駒星光快驅糖不甩飛躍精英真好運旺旺神駒添喜運中華盛景赤壁銳高爆笑遨遊氣泡紅錢到怡昌奇兵優悠俠,
千里如飛,澳洲 / 4,棗 / 閹,自購新馬,"$23,400","$23,400",0-0-0-5,2,香港(09/08/2024),07/11/2023,伍鵬志,葉煒崑,42,48,Justify,Stopshoppingmaria,More Than Ready,風再起時天火同德龍之珍凡凡有餘正將快靚旺假面騎士十力銳義新意馬和平波浪漫戰神難以置信,
