馬匹,日期,場,班次,路程,場地,分,配備,磅,排位重,騎,練,檔,走位,名,距離,時間,冠,亚,季,頭馬,賠
友誼至佳,10/20/21,104,5 40-0,谷夜 C3 1200,好快,38,T1B,132,1164,拉,韋,9,- 4 4,3,3 1/4,1.09.68,合金皇,天天智庫,▲,1.09.17,7.8
佳運財,10/17/21,103,2 100-80,田日 B 1200,好地,94,,127,1193,豐,希,9,- 9 9,3,頭,1.08.92,必長勝,小太陽,▲,1.08.89,2.5
翡翠鳳凰,10/17/21,102,3 80-60,田日 B 1400,好地,62,B,116,1154,田,羅,14,1 2 2,3,3 3/4,1.21.91,糖糖幸運,將俠,▲,1.21.30,14
飛輪閃耀,10/17/21,101,G2,田日 B 1600,好地,104,BT,113,1230,度,沈,4,5 3 3,3,3/4,1.34.51,勇戰神駒,友誼至好,▲,1.34.40,4.4
勤德兼備,10/17/21,100,2 100-80,田日 B 1800,好地,86,B,123,1061,豐,賀,1,5 3 3,3,1 1/2,1.48.46,天駟,超級軍團,▲,1.48.24,14
當家猴王,10/17/21,99,G2,田日 B 1200,好地,113,NX,126,1124,澤,韋,7,- 10 10,3,1,1.08.11,錶之未來,聚才,▲,1.07.95,16
喜蓮心星,10/17/21,98,3 80-60,田日 B 1800,好地,69,SW,124,1203,恩,希,7,4 5 7,3,1 1/2,1.48.86,加州十大,精準快車,▲,1.48.62,10
喜報,10/17/21,97,4 60-40,田日 B 1200,好地,58,T,131,1123,豐,賢,4,- 3 4,3,1 1/2,1.09.66,四季喜,狀元及第,▲,1.09.43,9.5
天天得樂,10/17/21,96,4 60-40,田日 B 1200,好地,47,T1SW,121,1059,田,何,2,- 6 6,3,1,1.10.19,虹鴻,佳運發,▲,1.10.03,30
浪漫組合,10/17/21,95,4 60-40,田日 B 1400,好地,58,BT,131,1139,拉,沈,2,8 7 4,3,1/2,1.21.86,超好日子,誠心所願,▲,1.21.75,3.6
正本開心,10/17/21,94,4 60-40,田日 B 2000,好地,55,SWT,130,1144,潘,羅,4,5 6 5,3,1/2,2.02.44,神龍駒,翡翠綠,▲,2.02.37,9.7
閃得快,10/10/21,93,3 80-60,田日 A 1400,好地,67,BX,118,1184,周,韋,6,5 5 4,3,1,1.21.41,金莊令,紅旺,▲,1.21.25,9.8
美好世界,10/10/21,92,3 80-60,田日 A 1200,好地,68,,125,1123,班,羅,8,- 4 4,3,1/2,1.08.86,逆市奇爸,會長之星,▲,1.08.79,28
文明之星,10/10/21,91,2 105-80,泥日  1200,濕慢,84,V,115,1148,紹,丁,3,- 5 5,3,3 3/4,1.09.25,銀紙,精靈勇士,▲,1.08.65,5.9
幸運傳奇,10/10/21,90,3 80-60,泥日  1650,濕慢,69,B,125,1166,明,羅,3,2 2 2,3,3,1.39.63,禪勝寶駒,超速,▲,1.39.17,3.8
極速奔馳,10/10/21,89,4 60-40,田日 A 1400,好黏,55,T,128,1145,紹,姚,12,11 10 7,3,2 1/2,1.22.22,全勝神駒,春風得意,▲,1.21.81,12
恆駿寶駒,10/10/21,88,4 60-35,泥日  1650,濕慢,59,B,132,1117,度,賢,9,13 14 14,3,3,1.40.82,印鈔工廠,旅英福星,▲,1.40.35,15
坪山新星,10/10/21,87,5 40-0,田日 A 1400,好黏,24,B-,117,997,拉,鄭,1,6 5 2,3,3,1.22.78,勇晉大師,勇敢動力,▲,1.22.31,2.7
好友利,10/10/21,86,4 60-40,田日 A 1400,好黏,41,B,114,1018,紹,徐,4,5 5 5,3,1 3/4,1.22.52,變數,紅衣震撼,▲,1.22.24,15
吉利大勝,10/10/21,85,4 60-40,田日 A 1000,好黏,43,C,114,1161,明,高,11,- 10 5,3,3 1/4,0.56.59,閃電烈馬,威妙星,▲,0.56.10,8.5
帝豪寶駒,10/10/21,84,5 40-0,泥日  1200,濕慢,38,BT,132,1150,度,賢,6,- 12 12,3,1 1/4,1.10.44,小鳥敖翔,智弗拍檔,▲,1.10.26,9.6
太陽威威,10/06/21,83,2 105-80,谷夜 A 1650,好地,90,,118,1072,明,羅,4,2 2 4,3,3 3/4,1.39.33,電訊巴打,熱血鬥士,▲,1.38.73,16
明欣賞,10/06/21,82,3 80-60,谷夜 A 1200,好地,76,,130,1060,潘,賀,7,- 10 10,3,1 1/4,1.10.01,場場精綵,知道必勝,▲,1.09.80,8.5
戰熊三千,10/06/21,81,4 60-40,谷夜 A 1200,好地,60,BT,133,1218,聲,霍,11,- 11 7,3,3/4,1.10.15,勇眼光,量化歡騰,▲,1.10.03,18
噴火龍,10/06/21,80,4 60-40,谷夜 A 1650,好地,43,BT,116,1040,黎,霍,3,7 7 8,3,頸,1.40.23,御風超影,真感,▲,1.40.18,9.8
天意,10/06/21,79,4 60-40,谷夜 A 1200,好地,42,B,115,1186,綸,蘇,12,- 10 10,3,1/2,1.10.12,銘記知心,怡昌勇士,▲,1.10.03,34
喜盈寶,10/06/21,78,3 80-60,谷夜 A 1800,好地,73,,130,996,潘,蔡,5,4 4 2,3,1/2,1.49.64,動力飛鷹,水箭龜,▲,1.49.54,11
明月生輝,10/06/21,77,4 60-40,谷夜 A 1000,好地,50,,121,1141,明,羅,7,- 10 8,3,2 1/2,0.57.50,蒲俠超得,中華威威,▲,0.57.11,13
驍鎰,10/06/21,76,5 40-0,谷夜 A 1650,好地,29,NT,117,1228,周,韋,5,3 4 6,3,3,1.41.54,優達星,又享耆成,▲,1.41.05,33
醉醒神,10/06/21,75,4 60-40,谷夜 A 1800,好地,44,P,114,1071,楠,丁,3,5 6 6,3,1 3/4,1.50.13,皇寶,甲烷,▲,1.49.86,48
合衷共濟,10/01/21,74,3 80-60,田日 A 1200,好地,74,T,123,1099,周,賀,3,- 1 1,3,1 1/4,1.09.15,神之水滴,以戰養戰,▲,1.08.95,7.3
凌駕,10/01/21,73,3 80-60,田日 A 1600,好地,74,,129,1112,田,蔡,5,9 9 7,3,2 3/4,1.35.67,保羅承傳,天池怪俠,▲,1.35.23,5.5
錶之未來,10/01/21,72,G3,田日 A 1000,好地,109,VH,124,1224,周,呂,14,- 6 7,3,1 1/4,0.55.16,聚才,顯心星,▲,0.54.96,3.3
勁力勇士,10/01/21,71,2 100-80,田日 A 1400,好地,81,V,118,1109,澤,呂,6,7 7 6,3,3,1.21.63,包裝太保,一定美麗,▲,1.21.14,16
浪漫組合,10/01/21,70,4 60-40,田日 A 1400,好地,58,BT,131,1146,拉,沈,10,6 4 4,3,3,1.22.46,香音,有緣人,▲,1.21.97,3.2
智醒財星,10/01/21,69,3 80-60,田日 A 1000,好地,70,BH,125,1211,拉,柏,3,- 1 2,3,5 1/4,0.56.06,緊張大師,佳景福星,▲,0.55.24,11
行樂之光,10/01/21,68,5 40-0,田日 A 1800,好地,23,XT,117,1126,年,賢,11,10 10 9,3,1/2,1.49.42,劍聶風,美活人生,▲,1.49.34,14
縱橫十六,10/01/21,67,4 60-40,田日 A 1600,好地,45,BT,118,1224,梁,呂,5,7 7 7,3,2 3/4,1.35.96,合夥年代,嘉才,▲,1.35.54,15
競駿翩翩,10/01/21,66,4 60-40,田日 A 1200,好地,41,T,114,1073,度,賢,2,- 8 6,3,4 1/4,1.10.26,皇者精芯,電子兄弟,▲,1.09.57,7.1
有鴻利,10/01/21,65,4 60-40,田日 A 1200,好地,44,X,117,1253,班,姚,3,- 5 5,3,2 1/2,1.10.40,喜報,合約精神,▲,1.09.99,28
加州雷電,09/26/21,64,2 100-80,田日 C 1200,好快,92,BT,120,1237,周,東,12,- 2 1,3,1 1/2,1.08.45,必長勝,肥仔叻叻,▲,1.08.22,16
美麗非凡,09/26/21,63,3 80-60,田日 C 1400,好快,75,ET,132,1207,恩,蔡,3,9 9 5,3,2 3/4,1.21.81,將俠,志在四方,▲,1.21.37,15
喜譽寶,09/26/21,62,3 80-60,田日 C 1200,好快,77,,132,1096,度,蔡,1,- 8 8,3,1/2,1.08.66,包裝長勝,五門齊,▲,1.08.56,42
達心星,09/26/21,61,G3,田日 C 1400,好快,114,T,120,1162,拉,柏,3,7 7 6,3,1 1/2,1.20.72,二郎,飛輪閃耀,▲,1.20.48,1.9
萬市之光,09/26/21,60,4 60-40,田日 C 1400,好快,51,T,125,1076,紹,賢,2,10 9 6,3,3/4,1.21.47,遨遊之星,春風得意,▲,1.21.33,9.1
無可限量,09/26/21,59,4 60-40,田日 C 1200,好快,54,,126,1254,潘,希,10,- 2 2,3,1/2,1.09.44,源源動力,順意寶,▲,1.09.35,4.2
